Date,Close,High,Low,Open,Volume,MA50,MA200,MACD,MACD_signal,MACD_hist,RSI,BB_low,BB_high,DC_high,DC_low,S_MA_buy,S_MACD_buy,S_RSI_buy,S_BB_buy,S_DC_buy,Vol20,S_Vol_buy,S_RSI_sell,S_BB_sell,S_DC_sell,S_Vol_sell,Score_buy,Score_sell,Signal
2022-01-03,178.6456756591797,179.4996045429641,174.42516992990628,174.54294702694892,104487900,,,0.0,0.0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
2022-01-04,176.3783416748047,179.55845745447346,175.8090608575143,179.25419002967348,99310400,,,-0.1808699474715069,-0.0361739894943013,-0.1446959579772055,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
2022-01-05,171.6867218017578,176.83967914737053,171.41189860813105,176.290032760117,94537600,,,-0.6947762500643364,-0.1678944416083084,-0.5268818084560281,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
2022-01-06,168.8206787109375,172.05968310015797,168.46733250526367,169.50773661732023,96904000,,,-1.318121933129163,-0.3979399399124793,-0.9201819932166836,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
2022-01-07,168.987548828125,170.92113587009246,167.86862157848182,169.69424129913546,86709100,,,-1.7781652716734584,-0.6739850062646753,-1.1041802654087831,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
2022-01-10,169.00718688964844,169.31145435336728,165.06148967296951,165.95467253383114,106765600,,,-2.116767526061892,-0.9625415102241188,-1.1542260158377733,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
2022-01-11,171.84378051757812,171.9419231072243,167.66252878475484,169.1348024201247,76138300,,,-2.131650512587669,-1.1963633106968288,-0.93528720189084,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
2022-01-12,172.28541564941406,173.90491024436494,171.58854802680634,172.8645062038037,74805200,,,-2.083788505615644,-1.3738483496805918,-0.709940155935052,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
2022-01-13,169.00718688964844,173.35529415174287,168.6145716326397,172.53082457713552,84505800,,,-2.284054030782812,-1.555889485901036,-0.7281645448817762,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
2022-01-14,169.8709259033203,170.56779364905069,167.92751407393143,168.17289299389805,80440800,,,-2.3460258567515666,-1.7139167600711422,-0.6321090966804244,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
